"序號","事業單位名稱","違反條文","罰鍰文號","罰鍰日期"
103,"信祥股份有限公司","勞動基準法第30條第5項","高市勞條字第10531371500號","105/03/08"
104,"蕭政維即品御茶飲專賣店","勞動基準法第21條第1項","高市勞條字第10531625000號","105/03/09"
,,"勞動基準法第22條第2項",,
,,"勞動基準法第39條",,
105,"臺灣人壽保險股份有限公司","勞動基準法第24條","高市勞條字第10531147500號","105/03/10"
106,"聲秦企業有限公司","勞動基準法第22條第2項","高市勞條字第10531519900號","105/03/10"
,,"勞動基準法第24條",,
107,"輝創電子股份有限公司","勞動基準法第32條第2項","高市勞條字第10531399700號","105/03/10"
108,"劦清企業有限公司","勞動基準法第32條第2項","高市勞條字第10531519700號","105/03/10"
109,"丞邦貨運有限公司","勞動基準法第30條第5項","高市勞條字第10531718000號","105/03/11"
,,"勞動基準法第39條",,
110,"威爾斯美語股份有限公司","勞動基準法第23條第1項","高市勞條字第10531348300號","105/03/11"
,,"勞動基準法第24條",,
,,"勞動基準法第39條",,
111,"台灣牛角電影有限公司","勞動基準法第23條第2項","高市勞條字第10531160600號","105/03/14"
112,"台灣牛角電影有限公司","勞動基準法第30條第5項","高市勞條字第1053116060A號","105/03/14"
113,"台灣高速鐵路股份有限公司","勞動基準法第24條","高市勞條字第10531007500號","105/03/15"
114,"黃麗琴即you tea樂活茶飲","勞動基準法第23條第2項","高市勞條字第10531727900號","105/03/15"
,,"勞動基準法第30條第5項",,
115,"華佑物業管理顧問有限公司","勞動基準法第24條","高市勞條字第10531795800號","105/03/15"
,,"勞動基準法第32條第2項",,
,,"勞動基準法第39條",,
116,"許麗美即亞舍紅茶冰瑞隆店","勞動基準法第36條","高市勞條字第10531734600號","105/03/15"
117,"地平線國際蔬果有限公司","勞動基準法第80條","高市勞條字第10531652500號","105/03/16"
118,"飛天機有限公司","勞動基準法第22條第2項","高市勞條字第10531112300號","105/03/16"
119,"高雄漢王洲際飯店有限公司","勞動基準法第22條第2項","高市勞條字第10531086500號","105/03/16"
120,"佳銓工程有限公司","勞動基準法第30條第5項","高市勞條字第10531519600號","105/03/16"
